Word,Count
*,648
:,300
,153
the,146
***********************************************************************************,126
for,111
to,101
game,78
a,70
cube,64
C:\Program,63
auth,63
Files\Microsoft,63
descp,63
Visual,63
iDate,63
version:,63
javery,63
path,63
of,53
is,52
],42
and,38
),37
cell,36
===========================================================================,34
current,34
grid,33
routines,32
in,32
=========================================================================,31
(,31
all,30
========================================================================,28
============================================================================,28
cubes,27
if,26
",",25
it,25
][,25
=,25
==========================================================================,25
fish,24
on,24
session,24
Draws,23
calculate,23
intro,22
"cube,",21
1,21
CASE,21
passed,21
[,20
movement,20
routine,20
);,20
through,19
from,19
sprite,19
specified,19
cells,18
monkey,18
=================================================,18
====================================================================================,18
09/17/06,18
Loads,18
have,17
by,16
TO,16
more,15
so,15
row,15
using,15
bottom,15
each,14
====================================================================,14
used,14
speed,14
water,14
font,14
as,14
sides,13
rendering,13
in-game,13
at,13
be,13
+,13
prototypes,13
new,12
run,12
x,12
y,12
padding,12
left,12
faces,12
in-between,12
===================================================================================,12
color,12
space,12
logic,12
position,12
score,12
mode,12
first,12
=======================================================================,12
into,12
Searches,12
been,12
09/18/06,12
================================================================,12
Game,11
data,11
are,11
etc,11
wall,11
=====================================================================,11
both,11
links,11
or,11
debug,10
company,10
then,10
DO,10
stuff,10
frames,10
up,10
with,10
{,9
GUI,9
SECTION,9
graphics,9
right,9
this,9
macros,9
most,9
occupied,9
09/03/06,9
3,9
linked,9
4,9
just,9
number,9
part,9
Returns,9
start,9
===================================================================,9
G_FindLinks,9
timing,9
},9
load,9
values,8
version,8
background,8
two,8
coordinates,8
sprites,8
oldWaterBuffer->line[,8
going,8
stage,8
screen,8
some,8
0,8
flagged,8
push,8
add,8
resources,8
target,8
delete,8
every,7
that,7
required,7
random,7
one,7
=======================================================================================,7
buffer,7
side,7
generate,6
close,6
accordingly,6
determines,6
link,6
element,6
active,6
-,6
like,6
2,6
upon,6
note,6
gfx_sprite.h,6
possible,6
Called,6
AI,6
Defines,6
structs/prototypes,6
pCube->directions[,6
display,6
CUBE,6
lines,6
overall,6
little,6
level,6
Loops,6
===============================================,6
no,6
top,6
Creates,6
Checks,6
scaling,6
determine,6
factors,6
bitmaps,6
else,6
Studio\MyProjects\PrimaryCubes3D\game.h,6
needs,6
=================================================================================,6
GL_DIRECTION_DOWN,6
change,6
animation,6
further,6
system,6
well,6
rear,6
=====================================================================================,6
called,6
